"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","read","writ","recv","send","1m","5m","15m","memory process"
0.206,0.148,99.628,0.014,0.0,0.005,1309921280.0,0.0,706252800.0,81584128.0,297500672.0,1849978880.0,37896.588,17130.735,0.0,0.0,0.0,0.010,0.050,java / 1023664128%
0.995,0.995,98.010,0.0,0.0,0.0,1310244864.0,0.0,706252800.0,81260544.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1944.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,4096.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1310085120.0,0.0,706252800.0,81420288.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,20480.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1309908992.0,0.0,706252800.0,81596416.0,297500672.0,1849978880.0,0.0,0.0,2161.0,1694.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309843456.0,0.0,706252800.0,81661952.0,297500672.0,1849978880.0,0.0,16384.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1309843456.0,0.0,706252800.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1310289920.0,0.0,706252800.0,81215488.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,24576.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1310212096.0,0.0,706252800.0,81293312.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1628.0,0.0,0.010,0.050,java / 1023664128%
